price,normalPrice,discount,discount_percentage,url,name
19.95,29.9475,"10,00 €",-1.000%,https://jugamosotra.com/2-4-jugadores/3696-rondo.html,RONDO
19.96,35.0053,"15,05 €",-1.505%,https://jugamosotra.com/2-4-jugadores/213-beowulf.html,Beowulf
24.96,35.0053,"10,05 €",-1.005%,https://jugamosotra.com/2-5-jugadores/1855-oceanos.html,Océanos
29.95,44.95,"15,00 €",-1.500%,https://jugamosotra.com/3-6-jugadores/1796-yo-soy-el-jefe.html,Yo Soy el Jefe
24.95,46.0042,"21,05 €",-2.105%,https://jugamosotra.com/2-4-jugadores/3661-the-arrival.html,The Arrival
19.96,35.0053,"15,05 €",-1.505%,https://jugamosotra.com/2-4-jugadores/3660-carthago-merchants-guilds.html,Carthago: Merchants & Guilds
19.95,44.9515,"25,00 €",-2.500%,https://jugamosotra.com/2-4-jugadores/876-ships.html,Ships
48.95,69.9985,"21,05 €",-2.105%,https://jugamosotra.com/1-6-jugadores/3042-charterstone.html,Charterstone
19.95,64.9528,"45,00 €",-4.500%,https://jugamosotra.com/2-4-jugadores/3306-zombies-15-.html,Zombies 15'
39.95,65.0012,"25,05 €",-2.505%,https://jugamosotra.com/2-4-jugadores/2963-agra.html,Agra (Inglés)
19.95,29.9959,"10,05 €",-1.005%,https://jugamosotra.com/2-4-jugadores/3542-bali.html,Bali (Inglés)
12.45,24.9986,"12,55 €",-1.255%,https://jugamosotra.com/2-4-jugadores/2364-yangtze.html,Yangtze
19.95,39.9542,"20,00 €",-2.000%,https://jugamosotra.com/1-6-jugadores/1642-pandemic-en-el-laboratorio.html,Pandemic En el Laboratorio
39.95,58.9512,"19,00 €",-1.900%,https://jugamosotra.com/2-4-jugadores/3438-space-freaks.html,Space Freaks
15.95,19.9529,"4,00 €",-400%,https://jugamosotra.com/juegos/2955-wir-sind-das-volk-22.html,Wir sind das Volk!: 2+2
19.95,30.9518,"11,00 €",-1.100%,https://jugamosotra.com/2-jugadores/3434-punct.html,PÜNCT
44.96,59.9555,"15,00 €",-1.500%,https://jugamosotra.com/3-8-jugadores/3248--vivajava-the-coffee-game.html,VivaJava: The Coffee Game
19.95,39.9542,"20,00 €",-2.000%,https://jugamosotra.com/3-4-jugadores/492-inkognito.html,Inkógnito
19.95,26.9951,"7,05 €",-705%,https://jugamosotra.com/2-4-jugadores/158-san-juan.html,San Juan
34.96,80.0052,"45,05 €",-4.505%,https://jugamosotra.com/3-5-jugadores/1728-seafall.html,Seafall
19.95,39.9542,"20,00 €",-2.000%,https://jugamosotra.com/2-4-jugadores/3411-enclave.html,Enclave
44.95,89.9514,"45,00 €",-4.500%,https://jugamosotra.com/3-5-jugadores/1720-colosseum.html,Colosseum
14.95,21.9978,"7,05 €",-705%,https://jugamosotra.com/2-4-jugadores/3357-king-frog.html,King Frog
19.94,34.9448,"15,00 €",-1.500%,https://jugamosotra.com/2-4-jugadores/3346-edenia.html,Edenia
39.94,62.9442,"23,00 €",-2.300%,https://jugamosotra.com/2-jugadores/3336-wartime-the-battle-of-valyance-vale.html,Wartime: The Battle of Valyance Vale
16.95,24.9502,"8,00 €",-800%,https://jugamosotra.com/2-5-jugadores/3333-beeeees.html,Beeeees
19.95,29.9475,"10,00 €",-1.000%,https://jugamosotra.com/2-5-jugadores/3332-menu-masters.html,Menu Masters
24.96,80.0052,"55,05 €",-5.505%,https://jugamosotra.com/3-5-jugadores/3322-seafall.html,Seafall (Inglés)
14.95,22.9537,"8,00 €",-800%,https://jugamosotra.com/2-jugadores/3327-dice-masters-superman-and-wonder-woman-starter.html,Dice Masters Superman and Wonder Woman Starter
19.95,39.9542,"20,00 €",-2.000%,https://jugamosotra.com/2-4-jugadores/3326-ars-alchimia.html,Ars Alchimia
14.95,39.9542,"25,00 €",-2.500%,https://jugamosotra.com/2-8-jugadores-/1384-knit-wit.html,Knit Wit
24.95,49.9488,"25,00 €",-2.500%,https://jugamosotra.com/2-5-jugadores/3325-king-chocolate.html,King Chocolate
39.95,74.9474,"35,00 €",-3.500%,https://jugamosotra.com/2-4-jugadores/3323-escape-zombie-city-big-box.html,Escape: Zombie City Big Box (Con arruguita)
24.95,38.9499,"14,00 €",-1.400%,https://jugamosotra.com/2-6-jugadores/3304-around-the-world-in-80-days.html,Around The World In 80 Days
28.95,38.9499,"10,00 €",-1.000%,https://jugamosotra.com/2-5-jugadores/3302-king-s-road.html,King's Road
15.95,22.9537,"7,00 €",-700%,https://jugamosotra.com/2-4-jugadores/3301-nimbee.html,Nimbee
8.95,15.9478,"7,00 €",-700%,https://jugamosotra.com/2-8-jugadores-/3300-pairs-deluxe-edition.html,Pairs  Deluxe Edition
17.95,43.9472,"26,00 €",-2.600%,https://jugamosotra.com/2-5-jugadores/3265-alba-longa.html,Alba Longa
24.95,60.0039,"35,05 €",-3.505%,https://jugamosotra.com/2-6-jugadores/3264-world-control.html,World Control
9.94,17.9443,"8,00 €",-800%,https://jugamosotra.com/2-4-jugadores/3262-antagonism.html,Antagonism
11.95,39.9542,"28,00 €",-2.800%,https://jugamosotra.com/2-5-jugadores/3222-kagnag.html,Karnag
9.95,16.9521,"7,00 €",-700%,https://jugamosotra.com/2-jugadores/3221-the-blood-of-an-englishman.html,The Blood of an Englishman
19.94,34.9448,"15,00 €",-1.500%,https://jugamosotra.com/2-jugadores/3218-seven-swords.html,SEVEN SWORDS
29.95,60.0039,"30,05 €",-3.005%,https://jugamosotra.com/2-jugadores/3217-dragon-rage.html,Dragon Rage
14.95,29.9475,"15,00 €",-1.500%,https://jugamosotra.com/1-4-jugadores/3216-card-city-xl.html,Card City XL
34.95,47.9523,"13,00 €",-1.300%,https://jugamosotra.com/2-4-jugadores/3207-twilight-of-the-gods.html,Twilight of the Gods
49.95,69.9501,"20,00 €",-2.000%,https://jugamosotra.com/2-5-jugadores/2853-catacombs-3-edicion.html,Catacombs and Castles
22.95,38.9499,"16,00 €",-1.600%,https://jugamosotra.com/2-4-jugadores/3202-nippon-rails.html,Nippon Rails
22.95,43.9956,"21,05 €",-2.105%,https://jugamosotra.com/2-6-jugadores/3201-china-rails.html,China Rails
18.95,32.9967,"14,05 €",-1.405%,https://jugamosotra.com/2-4-jugadores/3200-empire-express.html,Empire Express
14.94,34.9448,"20,00 €",-2.000%,https://jugamosotra.com/2-5-jugadores/3199-urbania.html,Urbania
22.95,35.9491,"13,00 €",-1.300%,https://jugamosotra.com/2-6-jugadores/3198-india-rails.html,India Rails
14.96,28.9553,"14,00 €",-1.400%,https://jugamosotra.com/2-jugadores/1820-starfighter.html,Starfighter
22.95,43.9472,"21,00 €",-2.100%,https://jugamosotra.com/3-5-jugadores/3189-spoils-of-war.html,Spoils of War
17.96,45.9558,"28,00 €",-2.800%,https://jugamosotra.com/2-5-jugadores/3188-quebec.html,Québec
19.94,34.9448,"15,00 €",-1.500%,https://jugamosotra.com/2-4-jugadores/3067--atari-centipede.html,Atari: Centipede
14.94,62.9926,"48,05 €",-4.805%,https://jugamosotra.com/2-4-jugadores/3066-coal-country.html,Coal Country
22.95,44.9515,"22,00 €",-2.200%,https://jugamosotra.com/3-4-jugadores/655-infamy.html,Infamy
17.95,27.951,"10,00 €",-1.000%,https://jugamosotra.com/2-6-jugadores/682-voila.html,Voilà!
14.95,20.0013,"5,05 €",-505%,https://jugamosotra.com/2-5-jugadores/1875-walking-on-the-moon.html,Walking on the moon + March on Mars
14.95,44.9515,"30,00 €",-3.000%,https://jugamosotra.com/3-6-jugadores/2308-age-of-soccer.html,Age of Soccer
9.95,29.9475,"20,00 €",-2.000%,https://jugamosotra.com/3-4-jugadores/2920-le-siecle-d-or.html,BF Le Siècle d'Or
14.95,29.9475,"15,00 €",-1.500%,https://jugamosotra.com/2-5-jugadores/1575-costa-rica-reveal-the-rainforest.html,Costa Rica: Reveal the  Rainforest!
21.95,39.9542,"18,00 €",-1.800%,https://jugamosotra.com/2-4-jugadores/2805-planes.html,Planes
29.95,46.948,"17,00 €",-1.700%,https://jugamosotra.com/2-6-jugadores/2785-the-scepter-of-zavandor.html,The Scepter of Zavandor
9.95,19.9529,"10,00 €",-1.000%,https://jugamosotra.com/2-jugadores/2522-dice-masters-iron-man-and-war-machine-starter-set.html,Dice Masters: Iron Man and War Machine Starter Set
20.95,40.9464,"20,00 €",-2.000%,https://jugamosotra.com/2-4-jugadores/2520-project-mars.html,Project Mars
24.96,59.9555,"35,00 €",-3.500%,https://jugamosotra.com/1-4-jugadores/2516-colony.html,Colony
19.95,39.9542,"20,00 €",-2.000%,https://jugamosotra.com/1-4-jugadores/2102-apotheca.html,Apotheca
25.94,34.9448,"9,00 €",-900%,https://jugamosotra.com/2-4-jugadores/2368-dokmus.html,Dokmus
7.45,9.9462,"2,50 €",-250%,https://jugamosotra.com/2-jugadores/2367-elements.html,Elements
14.95,29.9475,"15,00 €",-1.500%,https://jugamosotra.com/2-4-jugadores/2326-beyond-baker-street.html,Beyond Baker Street
34.95,69.9501,"35,00 €",-3.500%,https://jugamosotra.com/2-4-jugadores/2301-airlines-limited-edition.html,Airlines Limited Edition
15.95,19.9529,"4,00 €",-400%,https://jugamosotra.com/2-jugadores/2299-dice-masters-age-of-ultron.html,Dice Masters Age of Ultron
14.95,20.9451,"6,00 €",-600%,https://jugamosotra.com/2-jugadores/1588-dice-masters-world-finest-starter.html,Dice Masters World Finest Starter
14.95,19.9529,"5,00 €",-500%,https://jugamosotra.com/2-jugadores/2298-dice-masters-war-of-light-starter.html,Dice Masters War of Light Starter
14.94,31.944,"17,00 €",-1.700%,https://jugamosotra.com/2-4-jugadores/2078-super-vampire.html,Super Vampire
19.95,39.9542,"20,00 €",-2.000%,https://jugamosotra.com/2-4-jugadores/2075-for-crown-and-kingdom.html,For Crown and Kingdom
17.94,34.9448,"17,00 €",-1.700%,https://jugamosotra.com/3-5-jugadores/2074-mogul.html,Mogul
14.95,29.9475,"15,00 €",-1.500%,https://jugamosotra.com/2-6-jugadores/2072-exposed.html,Exposed
20.95,29.9475,"9,00 €",-900%,https://jugamosotra.com/inicio/2071-perfect-alibi.html,Perfect Alibi
24.95,49.9488,"25,00 €",-2.500%,https://jugamosotra.com/2-5-jugadores/2070-morocco.html,Morocco
19.94,34.9448,"15,00 €",-1.500%,https://jugamosotra.com/2-4-jugadores/2066-circular-reasoning.html,Circular Reasoning
19.95,44.9515,"25,00 €",-2.500%,https://jugamosotra.com/2-4-jugadores/1337-foragers.html,Foragers
74.96,112.5058,"37,55 €",-3.755%,https://jugamosotra.com/2-jugadores/2002-dice-masters-wart-of-light-gravity-feed-90-sobres.html,Dice Masters War Of Light Gravity Feed (90 sobres)
15.95,35.9491,"20,00 €",-2.000%,https://jugamosotra.com/1-6-jugadores/1999-meteor.html,Meteor
9.95,20.9451,"11,00 €",-1.100%,https://jugamosotra.com/2-jugadores/1983-dice-masters-the-amazing-spiderman-starter.html,Dice Masters The Amazing Spiderman Starter
44.95,91.950001,"47,00 €",-4.700%,https://jugamosotra.com/2-jugadores/1957-dice-masters-world-finest-gravity-feed-90-sobres.html,Dice Masters World Finest Gravity Feed (90 sobres)
4.95,14.95,"10,00 €",-1.000%,https://jugamosotra.com/2-jugadores/1918-soccer-city-expansion-leyendas.html,Soccer City Expansión Leyendas
12.95,16.949999,"4,00 €",-400%,https://jugamosotra.com/2-6-jugadores/858-capitan-flint.html,Capitán Flint
9.95,15.004,"5,05 €",-505%,https://jugamosotra.com/accesorios/1899-torre-de-dados-slim-angel-knight.html,Torre de dados Slim Angel Knight
9.95,15.004,"5,05 €",-505%,https://jugamosotra.com/accesorios/1898-torre-de-dados-slim-angel-of-death.html,Torre de dados Slim Angel of Death
13.95,19.9529,"6,00 €",-600%,https://jugamosotra.com/accesorios/1896-torre-de-dados-cuboid-angel-of-death.html,Torre de dados Cuboid -Angel of Death
