price,normalPrice,discount,discount_percentage,url,name
19.96,24.95,"4,99 €",-20%,https://jugamosuna.es/tienda/842/monstruo-final-barato.html,Monstruo Final
19.96,24.95,"4,99 €",-20%,https://jugamosuna.es/tienda/5069/comprar-el-ascenso-de-los-mini-monstruos-finales-barato.html,El ascenso de los Mini-monstruos Finales + Promos
59.2,74,"14,80 €",-20%,https://jugamosuna.es/tienda/7002/puzzle-3d-serie-maxi-disney-fantasy-castle.html,Puzzle 3D - Serie Maxi: Disney Fantasy Castle
21.5,43,"21,50 €",-50%,https://jugamosuna.es/tienda/3579/comprar-2018-carpe-diem-barato.html,CARPE DIEM
29.98,59.950001,"29,98 €",-50%,https://jugamosuna.es/tienda/1880/comprar-rail-raiders-infinite-barato.html,Rail Raiders Infinite
19.98,39.95,"19,98 €",-50%,https://jugamosuna.es/tienda/704/comprar-steam-park-barato.html,Steam Park
23.97,39.95,"15,98 €",-40%,https://jugamosuna.es/tienda/2492/comprar-breaking-bad-el-juego-de-mesa-barato.html,Breaking Bad - El juego de mesa
20.97,29.95,"8,99 €",-30%,https://jugamosuna.es/tienda/1552/comprar-mr-jack-nueva-york-barato.html,Mr. Jack Nueva York
32.97,54.95,"21,98 €",-40%,https://jugamosuna.es/tienda/3048/comprar-euphoria-barato.html,Euphoria
16.46,21.95,"5,49 €",-25%,https://jugamosuna.es/tienda/6228/comprar-embers-of-memory-a-throne-of-glass-game-ingles-barato.html,Embers of Memory: A Throne of Glass Game (Inglés)
7.96,9.949999,"1,99 €",-20%,https://jugamosuna.es/tienda/1449/comprar-star-wars-x-wing-kit-mejora-selector-de-maniobra-rebelde-barato.html,Kit de Mejora Selector de Maniobra Rebelde - Star Wars X-Wing
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/1450/comprar-star-wars-x-wing-kit-mejora-selector-de-maniobra-para-escoria-barato.html,Kit de Mejora Selector de Maniobra para Escoria - Star Wars X-Wing
13.77,22.95,"9,18 €",-40%,https://jugamosuna.es/tienda/2841/compraa-black-box-barato.html,Black Box + (Inglés)
22.72,34.950001,"12,23 €",-35%,https://jugamosuna.es/tienda/1415/comprar-santiago-barato.html,SANTIAGO
9.98,19.95,"9,98 €",-50%,https://jugamosuna.es/tienda/5750/comprar-zombies-el-juego-de-cartas-barato.html,Zombies!!! El juego de cartas
29.98,59.950001,"29,98 €",-50%,https://jugamosuna.es/tienda/2313/comprar-age-of-thieves-barato.html,Age of Thieves
24.98,49.95,"24,98 €",-50%,https://jugamosuna.es/tienda/3796/cmprar-reykholt-barato.html,Reykholt + Pegatina
24.98,49.95,"24,98 €",-50%,https://jugamosuna.es/tienda/3571/comprar-el-foro-de-trajano-barato.html,EL FORO DE TRAJANO
19.96,24.95,"4,99 €",-20%,https://jugamosuna.es/tienda/2118/comprar-gloom-barato.html,Gloom (Segunda Edición)
17.47,24.95,"7,49 €",-30%,https://jugamosuna.es/tienda/4705/set-1-rebeldes-4-mini-tazas-cafe-ceramica-star-wars-epviii.html,SET 1 REBELDES 4 MINI TAZAS CAFE CERAMICA STAR WARS EP.VIII
9.98,19.95,"9,98 €",-50%,https://jugamosuna.es/tienda/899/tesoros-inesperados-barato.html,Tesoros Inesperados
24.98,49.95,"24,98 €",-50%,https://jugamosuna.es/tienda/2568/comprar-tierras-bajas-barato.html,Tierras Bajas
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/5126/comprar-keyforge-la-edad-de-la-ascension-barato.html,KeyForge: La Edad de la Ascensión
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/6271/comprar-keyforge-mundos-en-colision-mazo-de-arconte-barato.html,KeyForge - Mundos en Colisión Mazo de Arconte
9.98,19.95,"9,98 €",-50%,https://jugamosuna.es/tienda/2837/comprar-amun-re-el-juego-de-cartas-barato.html,Amun-Re: El Juego de Cartas
12,15,"3,00 €",-20%,https://jugamosuna.es/tienda/5675/comprar-pop-stranger-things-hopper-date-night-vinyl-barato.html,POP Stranger Things - Hopper (Date Night) Vinyl
7.48,14.95,"7,48 €",-50%,https://jugamosuna.es/tienda/592/mafia-de-cuba-revolucion.html,Mafia de Cuba: ¡Revolución!
12.48,24.95,"12,48 €",-50%,https://jugamosuna.es/tienda/10110/comprar-mafia-de-cuba-barato.html,Mafia de Cuba
19.22,34.950001,"15,73 €",-45%,https://jugamosuna.es/tienda/2002/comprar-cottage-garden-mi-pequeno-jardin-barato.html,Cottage Garden: Mi Pequeño Jardín
19.96,24.95,"4,99 €",-20%,https://jugamosuna.es/tienda/4807/comprar-brains-family-castillos-y-dragones-barato.html,BRAINS FAMILY: CASTILLOS Y DRAGONES
26.97,44.95,"17,98 €",-40%,https://jugamosuna.es/tienda/3630/comprar-entre-dos-castillos-del-rey-loco-ludwig-barato.html,Entre Dos Castillos Del Rey Loco Ludwig
19.96,24.95,"4,99 €",-20%,https://jugamosuna.es/tienda/1776/comprar-dominion-alquimista-barato.html,Alquimia - Dominion
31.96,39.95,"7,99 €",-20%,https://jugamosuna.es/tienda/1777/comprar-dominion-cornucopia-barato.html,Cornucopia - Dominion
7.48,14.95,"7,48 €",-50%,https://jugamosuna.es/tienda/1368/comprar-tricks-and-mercenaries-barato.html,Tricks & Mercenaries - Kharnage
7.2,9.000001,"1,80 €",-20%,https://jugamosuna.es/tienda/7995/playmobil-70246-arbitros.html,PLAYMOBIL-70246 Árbitros
19.98,39.95,"19,98 €",-50%,https://jugamosuna.es/tienda/2067/comprar-otys-barato.html,Otys
12.48,24.95,"12,48 €",-50%,https://jugamosuna.es/tienda/656/la-posada-sangrienta.html,La Posada Sangrienta
14.98,29.95,"14,98 €",-50%,https://jugamosuna.es/tienda/1073/comprar-zombies-junior-barato.html,Zombies!!! Junior
8.98,17.95,"8,98 €",-50%,https://jugamosuna.es/tienda/3099/comprar-patchwork-expres-barato.html,PATCHWORK EXPRÉS
19.96,24.95,"4,99 €",-20%,https://jugamosuna.es/tienda/842/monstruo-final-barato.html,Monstruo Final
19.96,24.95,"4,99 €",-20%,https://jugamosuna.es/tienda/5069/comprar-el-ascenso-de-los-mini-monstruos-finales-barato.html,El ascenso de los Mini-monstruos Finales + Promos
59.2,74,"14,80 €",-20%,https://jugamosuna.es/tienda/7002/puzzle-3d-serie-maxi-disney-fantasy-castle.html,Puzzle 3D - Serie Maxi: Disney Fantasy Castle
21.5,43,"21,50 €",-50%,https://jugamosuna.es/tienda/3579/comprar-2018-carpe-diem-barato.html,CARPE DIEM
29.98,59.950001,"29,98 €",-50%,https://jugamosuna.es/tienda/1880/comprar-rail-raiders-infinite-barato.html,Rail Raiders Infinite
23.97,39.95,"15,98 €",-40%,https://jugamosuna.es/tienda/2492/comprar-breaking-bad-el-juego-de-mesa-barato.html,Breaking Bad - El juego de mesa
20.97,29.95,"8,99 €",-30%,https://jugamosuna.es/tienda/1552/comprar-mr-jack-nueva-york-barato.html,Mr. Jack Nueva York
32.97,54.95,"21,98 €",-40%,https://jugamosuna.es/tienda/3048/comprar-euphoria-barato.html,Euphoria
16.46,21.95,"5,49 €",-25%,https://jugamosuna.es/tienda/6228/comprar-embers-of-memory-a-throne-of-glass-game-ingles-barato.html,Embers of Memory: A Throne of Glass Game (Inglés)
7.96,9.949999,"1,99 €",-20%,https://jugamosuna.es/tienda/1449/comprar-star-wars-x-wing-kit-mejora-selector-de-maniobra-rebelde-barato.html,Kit de Mejora Selector de Maniobra Rebelde - Star Wars X-Wing
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/1450/comprar-star-wars-x-wing-kit-mejora-selector-de-maniobra-para-escoria-barato.html,Kit de Mejora Selector de Maniobra para Escoria - Star Wars X-Wing
13.77,22.95,"9,18 €",-40%,https://jugamosuna.es/tienda/2841/compraa-black-box-barato.html,Black Box + (Inglés)
22.72,34.950001,"12,23 €",-35%,https://jugamosuna.es/tienda/1415/comprar-santiago-barato.html,SANTIAGO
9.98,19.95,"9,98 €",-50%,https://jugamosuna.es/tienda/5750/comprar-zombies-el-juego-de-cartas-barato.html,Zombies!!! El juego de cartas
29.98,59.950001,"29,98 €",-50%,https://jugamosuna.es/tienda/2313/comprar-age-of-thieves-barato.html,Age of Thieves
24.98,49.95,"24,98 €",-50%,https://jugamosuna.es/tienda/3796/cmprar-reykholt-barato.html,Reykholt + Pegatina
24.98,49.95,"24,98 €",-50%,https://jugamosuna.es/tienda/3571/comprar-el-foro-de-trajano-barato.html,EL FORO DE TRAJANO
19.96,24.95,"4,99 €",-20%,https://jugamosuna.es/tienda/2118/comprar-gloom-barato.html,Gloom (Segunda Edición)
17.47,24.95,"7,49 €",-30%,https://jugamosuna.es/tienda/4705/set-1-rebeldes-4-mini-tazas-cafe-ceramica-star-wars-epviii.html,SET 1 REBELDES 4 MINI TAZAS CAFE CERAMICA STAR WARS EP.VIII
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/5126/comprar-keyforge-la-edad-de-la-ascension-barato.html,KeyForge: La Edad de la Ascensión
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/6271/comprar-keyforge-mundos-en-colision-mazo-de-arconte-barato.html,KeyForge - Mundos en Colisión Mazo de Arconte
9.98,19.95,"9,98 €",-50%,https://jugamosuna.es/tienda/899/tesoros-inesperados-barato.html,Tesoros Inesperados
24.98,49.95,"24,98 €",-50%,https://jugamosuna.es/tienda/2568/comprar-tierras-bajas-barato.html,Tierras Bajas
9.98,19.95,"9,98 €",-50%,https://jugamosuna.es/tienda/2837/comprar-amun-re-el-juego-de-cartas-barato.html,Amun-Re: El Juego de Cartas
